high(0);last(1);created_at(2);book(3);volumne(4);vwa(5);low(6);ask(7);bid(8);ask_avg_price(9);ask_avg_amount(10);bid_avg_price(11);bid_avg_amount(12);avg_trade_sell_amount(13);avg_trade_buy_amount(14);sentiment_Twitter(15);interest_trends(16);time_stamp(17)
3274.77;3055.30;2019-04-11T12:23:58+00:00;eth_mxn;1203.74999401;3269.05612814;3050.00;3100.64;3055.03;3334.7464;15.359114707;3436.0;0.00794379;0.996892258378;1.13125951016;0.0;45.2118644068;1554985600.8081012
3274.77;3079.30;2019-04-11T22:34:13+00:00;eth_mxn;876.93154120;3156.79181435;3050.00;3109.66;3085.84;3271.3384;15.705818824;3400.0;3.13600352;0.650142396216;0.974611039841;0.0;48.4827586207;1555022211.9154136
3142.70;3085.01;2019-04-12T12:20:51+00:00;eth_mxn;589.42079424;3060.97053323;3027.77;3139.55;3085.01;3248.0482;18.4465222606;3369.0;0.4556275;0.650292700536;0.594397304318;0.0;31.1949152542;1555071786.2184734
3120.00;3100.67;2019-04-13T05:28:37+00:00;eth_mxn;523.80001105;3095.93404338;3100.67;3140.09;3100.70;3249.3354;16.948886746;3371.0;0.02749771;1.06120543493;0.311702141111;0.0;37.4661016949;1555133428.9079945
3146.88;3146.77;2019-04-13T12:20:49+00:00;eth_mxn;511.46972272;3096.60610487;3090.00;3145.54;3090.14;3253.3464;15.7021473524;3373.01;0.01004032;1.39399929;0.3853841375;2.0;43.2203389831;1555158207.3188334
3146.88;3146.77;2019-04-13T12:23:57+00:00;eth_mxn;511.46972272;3096.60610487;3090.00;3143.69;3090.09;3244.5106;16.7906559918;3370.0;8.11528031;1.39399929;0.3853841375;2.0;43.3983050847;1555158436.9851198
3146.88;3082.98;2019-04-14T01:30:05+00:00;eth_mxn;221.11507358;3103.36460609;3065.01;3110.00;3084.60;3206.5446;15.4995948286;3331.0;0.6;0.434283199123;0.304708516279;2.0;45.4655172414;1555205692.1297207
3119.73;3111.83;2019-04-14T12:20:52+00:00;eth_mxn;238.45687462;3083.35386844;3066.57;3097.51;3071.12;3195.932;15.8131006118;3321.0;8.71365479;0.925382080426;0.790794767925;1.0;37.8559322034;1555244529.018225
3119.73;3111.83;2019-04-14T12:23:09+00:00;eth_mxn;238.45687462;3083.35386844;3066.57;3106.70;3071.26;3187.855;15.9691386072;3300.0;1.12278493;0.925382080426;0.790794767925;2.0;38.525862069;1555244718.2864816
3162.00;3162.00;2019-04-14T23:30:46+00:00;eth_mxn;236.84660472;3090.60707531;3066.57;3162.00;3140.01;3262.033;16.2477409812;3370.0;8.11528031;0.326773607683;0.464568744444;2.0;37.6583333333;1555284831.9071765
3199.98;3190.20;2019-04-15T06:32:37+00:00;eth_mxn;219.94253716;3127.23680381;3162.01;3190.20;3170.04;3274.589;15.3470184516;3371.0;0.02749771;0.526238750164;0.532919773333;2.0;45.325;1555310108.3721848
3199.99;3105.93;2019-04-15T12:20:56+00:00;eth_mxn;223.19786953;3127.77175638;3101.88;3140.24;3105.02;3257.4228;15.1343959642;3370.0;0.00603031;0.298495304375;0.203346563077;1.0;51.8083333333;1555330958.9105036
3199.99;3105.93;2019-04-15T12:23:08+00:00;eth_mxn;223.19786953;3127.77175638;3101.88;3138.53;3105.09;3270.7738;8.0637906306;3382.32;0.0303001;0.298495304375;0.203346563077;2.0;51.6440677966;1555331166.333306
3095.25;3052.83;2019-04-16T08:34:14+00:00;eth_mxn;576.20741592;3046.64755837;3037.96;3097.00;3052.02;3168.5272;17.925704764;3250.0;6.46672066;0.334967434138;1.04463072643;1.0;46.724137931;1555403851.8122258
3096.85;3052.01;2019-04-16T12:20:53+00:00;eth_mxn;617.51478555;3047.44149013;3037.96;3091.79;3052.04;3167.4696;16.8888358178;3250.0;6.46672066;0.3344874116;1.1147141202;3.0;45.5593220339;1555417375.1880553
3096.85;3052.01;2019-04-16T12:23:24+00:00;eth_mxn;617.51478555;3047.44149013;3037.96;3090.70;3052.05;3167.9884;16.7375451792;3250.0;6.46672066;0.3344874116;1.1147141202;3.0;45.1120689655;1555417534.5874915
